Lake.Code,Station,Month,Day,Year,Time,Pool.Elevation,Surface.Temp,Secchi,Conductivity,Gear.Code,Gear.Length,Habitat,Effort,Species.Code,Number.of.individuals,TL_mm,Wt_g
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,228,118
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,198,82
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,232,132
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,239,125
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,170,48
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,170,48
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,172,48
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,232,127
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,233,125
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,310,483
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,355,660
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,180,61
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,223,120
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,234,122
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,173,52
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,225,126
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,202,90
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,121,16
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,121,16
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,119,16
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,99,10
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,165,44
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,165,44
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,160,38
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,175,56
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,275,276
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,215,104
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,117,12
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,170,48
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,203,88
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,210,96
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,167,42
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,122,16
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,174,50
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,226,112
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,214,106
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,199,76
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,230,140
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,120,12
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,170,40
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,265,150
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,244,142
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,219,102
BLACK,7,11,29,2011,1308,937,11,12,331,31,65,NA,22,106,1,219,104
