Lake.Code,Station,Month,Day,Year,Time,Pool.Elevation,Surface.Temp,Secchi,Conductivity,Gear.Code,Gear.Length,Habitat,Effort,Species.Code,Number.of.individuals,TL_mm,Wt_g
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,115,1,125,20
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,106,1,205,100
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,106,1,231,140
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,501,1,141,NA
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,302,1,300,NA
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,501,1,346,NA
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,501,1,341,NA
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,501,1,327,NA
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,112,1,460,970
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,112,1,436,760
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,112,1,465,960
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,114,1,468,840
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,114,1,482,840
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,114,1,505,1140
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,114,1,560,1460
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,201,1,173,110
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,112,1,466,980
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,112,1,410,530
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,112,1,404,530
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,112,1,402,610
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,201,1,156,60
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,115,1,354,620
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,109,1,397,740
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,114,1,521,1150
CANTON,1,10,6,2009,700,NA,64,NA,NA,23,80,NA,18,501,1,321,NA
