Lake.Code,Station,Month,Day,Year,Time,Pool.Elevation,Surface.Temp,Secchi,Conductivity,Gear.Code,Gear.Length,Habitat,Effort,Species.Code,Number.of.individuals,TL_mm,Wt_g
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,453,1460
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,193,115
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,449,1495
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,278,280
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,224,155
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,142,133
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,91,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,231,150
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,149,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,144,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,145,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,130,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,272,260
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,149,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,271,270
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,489,2120
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,452,1560
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,255,230
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,312,400
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,227,200
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,122,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,134,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,351,610
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,137,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,157,60
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,140,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,83,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,107,
DRSPGS,22,4,20,2010,1502,,22,27,,44,15,,1,101,1,137,
DRSPGS,22,4,20,2010,1440,,21,27,,44,15,,1,101,1,260,210
DRSPGS,22,4,20,2010,1440,,21,27,,44,15,,1,101,1,175,140
DRSPGS,22,4,20,2010,1440,,21,27,,44,15,,1,101,1,346,530
DRSPGS,22,4,20,2010,1440,,21,27,,44,15,,1,101,1,122,
DRSPGS,22,4,20,2010,1440,,21,27,,44,15,,1,101,1,113,
DRSPGS,22,4,20,2010,1440,,21,27,,44,15,,1,101,1,146,
DRSPGS,22,4,20,2010,1440,,21,27,,44,15,,1,101,1,83,
