Lake.Code,Month,Day,Year,Gear,Species.Code,Number.of.individuals,TLmm,Age
BLACK,11,29,2011,31,106,1,175,1
BLACK,11,29,2011,31,106,1,178,1
BLACK,11,29,2011,31,106,1,179,1
BLACK,11,29,2011,31,106,1,179,1
BLACK,11,29,2011,31,106,1,178,1
BLACK,11,29,2011,31,106,1,177,1
BLACK,11,29,2011,31,106,1,173,1
BLACK,11,29,2011,31,106,1,177,1
BLACK,11,29,2011,31,106,1,148,1
BLACK,11,29,2011,31,106,1,158,1
BLACK,11,29,2011,31,106,1,182,1
BLACK,11,29,2011,31,106,1,200,1
BLACK,11,29,2011,31,106,1,182,1
BLACK,11,29,2011,31,106,1,162,1
BLACK,11,29,2011,31,106,1,164,1
BLACK,11,29,2011,31,106,1,170,1
BLACK,11,29,2011,31,106,1,172,1
BLACK,11,29,2011,31,106,1,161,1
BLACK,11,29,2011,31,106,1,165,1
BLACK,11,29,2011,31,106,1,172,1
BLACK,11,29,2011,31,106,1,167,1
BLACK,11,29,2011,31,106,1,169,1
BLACK,11,29,2011,31,106,1,172,1
BLACK,11,29,2011,31,106,1,174,1
BLACK,11,29,2011,31,106,1,161,1
BLACK,11,29,2011,31,106,1,172,1
BLACK,11,29,2011,31,106,1,162,1
BLACK,11,29,2011,31,106,1,168,1
BLACK,11,29,2011,31,106,1,169,1
BLACK,11,29,2011,31,106,1,168,1
BLACK,11,29,2011,31,106,1,124,0
BLACK,11,29,2011,31,106,1,229,2
BLACK,11,29,2011,31,106,1,183,2
BLACK,11,29,2011,31,106,1,195,2
BLACK,11,29,2011,31,106,1,215,2
BLACK,11,29,2011,31,106,1,195,2
BLACK,11,29,2011,31,106,1,209,2
BLACK,11,29,2011,31,106,1,182,2
BLACK,11,29,2011,31,106,1,227,2
BLACK,11,29,2011,31,106,1,213,2
BLACK,11,29,2011,31,106,1,205,2
BLACK,11,29,2011,31,106,1,237,2
BLACK,11,29,2011,31,106,1,189,2
BLACK,11,29,2011,31,106,1,220,2
BLACK,11,29,2011,31,106,1,205,2
BLACK,11,29,2011,31,106,1,203,2
BLACK,11,29,2011,31,106,1,187,2
BLACK,11,29,2011,31,106,1,216,2
BLACK,11,29,2011,31,106,1,223,2
BLACK,11,29,2011,31,106,1,210,2
BLACK,11,29,2011,31,106,1,196,2
BLACK,11,29,2011,31,106,1,255,2
BLACK,11,29,2011,31,106,1,265,2
BLACK,11,29,2011,31,106,1,256,2
BLACK,11,29,2011,31,106,1,256,2
BLACK,11,29,2011,31,106,1,280,2
BLACK,11,29,2011,31,106,1,292,2
BLACK,11,29,2011,31,106,1,307,3
BLACK,11,29,2011,31,106,1,300,3
BLACK,11,29,2011,31,106,1,297,3
