Lake.Code,Station,Month,Day,Year,Time,Pool.Elevation,Surface.Temp,Secchi,Conductivity,Gear.Code,Gear.Length,Habitat,Effort,Species.Code,Number.of.individuals,TL_mm,Wt_g
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,362,576
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,440,1122
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,145,32
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,410,1034
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,416,1134
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,422,1160
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,462,1442
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,421,1122
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,377,628
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,402,878
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,367,732
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,376,748
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,350,518
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,182,62
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,327,470
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,368,638
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,381,830
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,194,86
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,296,354
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,219,106
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,377,680
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,220,126
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,244,152
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,247,178
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,167,44
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,101,1,160,48
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,501,1,245,118
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,207,1,133,46
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,205,1,190,142
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,106,1,226,128
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,153,64
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,142,48
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,130,34
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,135,42
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,137,44
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,140,54
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,111,22
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,112,22
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,146,50
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,147,60
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,87,10
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,201,1,135,46
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,204,1,131,40
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,204,1,136,42
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,204,1,127,34
CEDAR,1,5,6,13,1015,.,16,57,27,41,15,.,1,114,1,468,882
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,642,4310
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,500,2440
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,455,1515
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,435,1360
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,405,952
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,304,338
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,414,908
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,294,374
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,434,1124
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,388,752
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,306,398
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,419,980
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,386,796
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,182,72
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,246,182
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,170,52
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,101,1,181,70
CEDAR,2,5,6,13,1112,.,16,57,27,41,15,.,1,204,1,235,214
