Lake.Code,Month,Day,Year,Gear,Species.Code,Number.of.individuals,TLmm,Age
TENKIL,4,22,2010,44,101,1,170,1
TENKIL,4,22,2010,44,101,1,178,1
TENKIL,4,22,2010,44,101,1,172,1
TENKIL,4,22,2010,44,101,1,164,1
TENKIL,4,22,2010,44,101,1,203,1
TENKIL,4,22,2010,44,101,1,190,1
TENKIL,4,22,2010,44,101,1,170,1
TENKIL,4,22,2010,44,101,1,155,1
TENKIL,4,22,2010,44,101,1,154,1
TENKIL,4,22,2010,44,101,1,201,1
TENKIL,4,22,2010,44,101,1,197,1
TENKIL,4,22,2010,44,101,1,189,1
TENKIL,4,22,2010,44,101,1,311,2
TENKIL,4,22,2010,44,101,1,265,2
TENKIL,4,22,2010,44,101,1,333,2
TENKIL,4,22,2010,44,101,1,300,2
TENKIL,4,22,2010,44,101,1,291,2
TENKIL,4,22,2010,44,101,1,303,2
TENKIL,4,22,2010,44,101,1,300,2
TENKIL,4,22,2010,44,101,1,350,2
TENKIL,4,22,2010,44,101,1,296,2
TENKIL,4,22,2010,44,101,1,252,2
TENKIL,4,22,2010,44,101,1,298,2
TENKIL,4,22,2010,44,101,1,290,2
TENKIL,4,22,2010,44,101,1,415,3
TENKIL,4,22,2010,44,101,1,368,3
TENKIL,4,22,2010,44,101,1,346,3
TENKIL,4,22,2010,44,101,1,440,4
TENKIL,4,22,2010,44,101,1,393,4
TENKIL,4,22,2010,44,101,1,437,4
TENKIL,4,22,2010,44,101,1,447,4
TENKIL,4,22,2010,44,101,1,435,4
TENKIL,4,22,2010,44,101,1,428,5
TENKIL,4,22,2010,44,101,1,470,5
TENKIL,4,22,2010,44,101,1,500,6
TENKIL,4,22,2010,44,101,1,462,6
TENKIL,4,22,2010,44,101,1,372,6
TENKIL,4,22,2010,44,101,1,445,6
TENKIL,4,22,2010,44,101,1,220,1
TENKIL,4,22,2010,44,101,1,160,1
TENKIL,4,22,2010,44,101,1,190,1
TENKIL,4,22,2010,44,101,1,172,1
TENKIL,4,22,2010,44,101,1,172,1
TENKIL,4,22,2010,44,101,1,203,1
TENKIL,4,22,2010,44,101,1,195,1
TENKIL,4,22,2010,44,101,1,281,2
TENKIL,4,22,2010,44,101,1,254,2
TENKIL,4,22,2010,44,101,1,265,2
TENKIL,4,22,2010,44,101,1,297,2
TENKIL,4,22,2010,44,101,1,330,2
TENKIL,4,22,2010,44,101,1,270,2
TENKIL,4,22,2010,44,101,1,235,2
TENKIL,4,22,2010,44,101,1,294,2
