Species Code,Gabelhouse Name
100,Largemouth Bass
101,Largemouth Bass
102,Largemouth Bass
103,Largemouth Bass
104,Spotted Bass
105,Smallmouth Bass
106,White Crappie
107,Black Crappie
109,White Bass
110,Striped Bass (landlocked)
111,Palmetto Bass
112,Walleye
113,Sauger
114,Channel Catfish
115,Blue Catfish
116,Northern Pike
118,Chain Pickerel
119,Muskellunge
120,Rainbow Trout
121,Largemouth Bass
124,Yellow Bass
126,Saugeye
127,Brown Trout (lotic)
128,White Perch
201,Bluegill
204,Redear Sunfish
205,Green Sunfish
206,Rock Bass
207,Warmouth
301,Common Carp
302,Freshwater Drum
304,Bigmouth Buffalo
306,River Carpsucker
308,Yellow Bullhead
309,Brown Bullhead
310,Black Bullhead
311,White Sucker
319,Shorthead Redhorse
320,Paddlefish
320.1,Paddlefish
320.2,Paddlefish
323,Grass Carp
326,Shorthead Redhorse
401,Flathead Catfish
402,Longnose Gar
408,Yellow Perch
501,Gizzard Shad
