"Lake.Code","Lake.Name","Lake.System","ODWC.Region","Lake.Size","CTHFP"
"10CHOC","Choctaw 10 Acre Pond","","Central",NA,"Yes"
"33RD","33rd Street Pond Dam","","Central",NA,"Yes"
"ADAIR","Adair Recreational Area","","East Central",NA,""
"ADAMS","Adams","","Northwest",NA,""
"ALTCIT","Altus City","","Southwest",NA,""
"AMHORS","American Horse","","Northwest",NA,""
"ARBUCK","Arbuckle","","South Central",NA,""
"ARCADI","Arcadia","","Central",NA,""
"ARDCIT","Ardmore City","","South Central",NA,""
"ATOBLU","Atoka Bluestem","","South Central",NA,""
"ATOKA","Atoka Lake","","South Central",NA,""
"BARDEW","Bar-Dew","","North Central",NA,""
"BARREN","Barren Fork Creek","","East Central",NA,""
"BARTLE","Bartlesville","","Northeast",NA,""
"BEAVER","Beaver","","Northwest",NA,""
"BEGGS","Beggs","","Central",NA,""
"BELLCO","Bell Cow","","Central",NA,""
"BIRCH","Birch","","North Central",NA,""
"BIXHOM","Bixhoma","","Northeast",NA,""
"BLACK","Carl Blackwell","","North Central",NA,""
"BLNCHN","Crystal Lake - Blanchard","","Central",NA,"Yes"
"BLNCHS","Crystal Lake - Blanchard","","Central",NA,"Yes"
"BLUEST","Bluestem","","North Central",NA,""
"BOOMER","Boomer","","North Central",NA,""
"BOREN","Boren","","Northeast",NA,""
"BOSWEL","Boswell","","Southeast",NA,""
"BOYER","Boyer","","Southwest",NA,""
"BRBOW","Broken Bow","","Southeast",NA,""
"BRISTO","Bristow","","Northeast",NA,""
"BROWN","Brown","","Southeast",NA,""
"BRUSHY","Brushy Creek","","East Central",NA,""
"BRYCTY","","","",NA,""
"BURFOR","Burford","","Southwest",NA,""
"BURTSC","Burtschi","","Southwest",NA,""
"BYARS","Byars","","Central",NA,""
"CACHEC","Cache Creek","","Southwest",NA,""
"CADD18","Caddo 18","","South Central",NA,""
"CANTON","Canton","","Northwest",NA,""
"CARLAL","Carl Albert","","Southeast",NA,""
"CARLTO","Carlton","","Southeast",NA,""
"CARTER","Carter","","South Central",NA,""
"CEDAR","Cedar","","Southeast",NA,""
"CENTRL","Eufala Central Arm","Eufala","East Central",NA,""
"CHAMBE","Chambers","","Northwest",NA,""
"CHANDL","Chandler","","Central",NA,""
"CHELSE","Chelsea City","","Northeast",NA,""
"CHELSH","Chleshoma","","Northeast",NA,""
"CHICKA","Chickasha","","Southwest",NA,""
"CHOUTE","Chouteau L&D 17","","Northeast",NA,""
"CHROCK","Chimney Rock","","Northeast",NA,""
"CHURCH","Church","","Southeast",NA,""
"CLAREM","Claremore City","","Northeast",NA,""
"CLAYTO","Clayton","","Southeast",NA,""
"CLEAR","Clearview","","Central",NA,""
"CLEARC","Clear Creek","","Southwest",NA,""
"CLEMS","","","",NA,""
"CLEVEL","Cleveland","","North Central",NA,""
"CLINTO","Clinton","","Northwest",NA,""
"COALGA","Coalgate","","South Central",NA,""
"COMANC","Comanche","","Southwest",NA,""
"COONCK","Coon Creek","","Southeast",NA,""
"COPAN","Copan","","Northeast",NA,""
