"","Error","Status"
"1","Correct column names and order","Error"
"2","Blank Cells instead of periods","Error"
"3","Invalid Lake Code","Error"
"4","Blank Station","Error"
"5","Invalid Month","Error"
"6","Invalid Day","Error"
"7","Invalid Year","Error"
"8","One Gear Code","Error"
"9","Invalid Species Code","Error"
"10","Invalid Number of individuals","Error"
"11","Invalid Total Length","Okay"
"12","Abnormally large or small TL","Error"
"13","Invalid Weight","Okay"
"14","Unusual Relative Weight (<20 or >120)","Okay"
